Fenotipo,Descripcion
"non mauris morbi non lectus aliquam sit","cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat"
"non mauris morbi non lectus aliquam sit amet","aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum"
"non mauris morbi non lectus aliquam sit amet diam","lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat"
"non pretium quis lectus suspendisse","convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus"
"non quam nec","nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor"
"non sodales sed tincidunt","quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu"
"non sodales sed tincidunt eu felis","in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis"
"nonummy integer non velit donec diam","orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat"
"nonummy integer non velit donec diam neque","magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes"
"nonummy integer non velit donec diam neque vestibulum","nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa"
"nonummy maecenas tincidunt lacus at","vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis"
"nonummy maecenas tincidunt lacus at velit vivamus vel","rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas"
"nulla ac enim","faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut"
"nulla ac enim in tempor","vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere"
"nulla ac enim in tempor turpis nec euismod scelerisque quam","sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo"
"nulla dapibus dolor vel","sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis"
"nulla eget eros","primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio"
"nulla eget eros elementum pellentesque quisque porta volutpat","scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede"
"nulla elit","risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum"
"nulla facilisi","id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at"
"nulla integer pede justo","ipsum primis in faucibus orci luctus et ultrices posuere cubilia"
"nulla integer pede justo lacinia eget tincidunt eget tempus","at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae"
"nulla mollis","feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien"
"nulla mollis molestie lorem quisque ut","eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim"
"nulla neque libero convallis","amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque"
"nulla neque libero convallis eget","ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis"
"nulla nisl nunc nisl duis","orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit"
"nulla nunc purus phasellus in","quis odio consequat varius integer ac leo pellentesque ultrices mattis"
"nulla nunc purus phasellus in felis donec semper sapien","non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum"
"nulla pede ullamcorper augue a suscipit nulla elit","sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl"
"nulla pede ullamcorper augue a suscipit nulla elit ac nulla","sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend"
"nulla quisque arcu libero rutrum ac lobortis","porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus"
"nulla sed accumsan felis ut at","in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa"
"nulla sed accumsan felis ut at dolor quis odio","donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum"
"nulla sed vel enim sit amet nunc viverra dapibus nulla","sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien"
"nulla suscipit ligula in lacus curabitur","tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh"
"nulla tempus vivamus in felis eu sapien cursus vestibulum","eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus"
"nullam molestie nibh","vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio"
"nullam varius nulla","velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales"
"nullam varius nulla facilisi cras non velit nec nisi","tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero"
"nullam varius nulla facilisi cras non velit nec nisi vulputate","erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus"
"nunc commodo","sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum"
"nunc nisl duis bibendum felis sed","ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit"
"nunc vestibulum ante","praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi"
"nunc vestibulum ante ipsum primis","sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum"
"nunc vestibulum ante ipsum primis in faucibus","dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros"
"Occipital horn syndrome","Occipital horn syndrome (OHS), formerly considered a variant of Ehlers Danlos syndrome, is an X-linked recessive mitochondrial and connective tissue disorder. It is caused by a deficiency in the transport of the essential mineral copper, associated with mutations in the ATP7A gene."
"odio consequat varius integer ac leo pellentesque ultrices mattis odio","morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum"
"odio cras mi pede malesuada","placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus"
"odio curabitur convallis duis consequat dui nec nisi","quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam"
"odio curabitur convallis duis consequat dui nec nisi volutpat","nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget"
"odio elementum eu interdum eu","rutrum ac lobortis vel dapibus at diam nam tristique tortor eu"
"odio in hac habitasse","ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci"
"odio justo","nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus"
"odio justo sollicitudin","donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra"
"odio justo sollicitudin ut suscipit a feugiat et","phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis"
"odio odio elementum eu interdum eu tincidunt in","cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare"
"odio odio elementum eu interdum eu tincidunt in leo","et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec"
"odio porttitor id consequat","ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien"
"orci eget orci vehicula","aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante"
"orci luctus et ultrices","nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis"
"orci luctus et ultrices posuere","quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti"
"orci luctus et ultrices posuere cubilia curae","nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend"
"orci vehicula condimentum curabitur in libero ut massa","pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris"
"orci vehicula condimentum curabitur in libero ut massa volutpat","hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate"
"ornare consequat lectus in","sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit"
"ornare consequat lectus in est","in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget"
"ornare imperdiet sapien urna pretium nisl ut volutpat","nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes"
"parturient montes nascetur ridiculus mus etiam vel","ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices"
"parturient montes nascetur ridiculus mus etiam vel augue","tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida"
"parturient montes nascetur ridiculus mus etiam vel augue vestibulum","ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique"
"pede ac","lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula"
"pede ac diam cras pellentesque volutpat dui maecenas","nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui"
"pede justo eu massa donec","cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula"
"pede justo lacinia eget tincidunt","sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit"
"pede libero quis orci nullam molestie nibh","sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris"
"pede lobortis ligula sit amet eleifend","justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet"
"pede lobortis ligula sit amet eleifend pede libero quis orci","tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer"
"pede malesuada in","phasellus in felis donec semper sapien a libero nam dui proin leo odio"
"pede morbi porttitor lorem","nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est"
"pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus","in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi"
"pede posuere","nonummy integer non velit donec diam neque vestibulum eget vulputate"
"pede posuere nonummy integer non velit donec diam neque","id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet"
"pede posuere nonummy integer non velit donec diam neque vestibulum","faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor"
"pede venenatis non","vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id"
"pede venenatis non sodales sed","pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum"
"pellentesque at nulla suspendisse potenti cras in","ut nulla sed accumsan felis ut at dolor quis odio"
"pellentesque at nulla suspendisse potenti cras in purus eu magna","justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis"
"pellentesque quisque porta volutpat erat","nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida"
"pellentesque quisque porta volutpat erat quisque","faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi"
"pellentesque ultrices phasellus id","felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis"
"pellentesque ultrices phasellus id sapien in","magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient"
"pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas","accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in"
"penatibus et","viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis"
"penatibus et magnis dis parturient montes nascetur ridiculus","lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat"
"pharetra magna ac consequat metus","pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed"
"pharetra magna ac consequat metus sapien ut","non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non"
"phasellus id sapien in sapien iaculis congue vivamus metus","egestas metus aenean fermentum donec ut mauris eget massa tempor convallis"
"phasellus in felis donec semper sapien a libero","nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus"
"phasellus sit amet erat nulla tempus","etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam"
"placerat ante nulla justo aliquam","ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut"
"placerat ante nulla justo aliquam quis turpis","eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis"
"placerat praesent","scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis"
"placerat praesent blandit nam nulla","est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis"
"placerat praesent blandit nam nulla integer pede","lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl"
"placerat praesent blandit nam nulla integer pede justo","nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum"
"platea dictumst","in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac"
"platea dictumst aliquam augue","hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer"
"platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget","sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper"
"platea dictumst etiam faucibus cursus urna ut tellus","viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla"
"platea dictumst maecenas ut massa quis augue","vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet"
"porta volutpat","phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae"
"porttitor lorem","donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis"
"posuere cubilia curae","faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla"
"posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices","lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas"
"posuere cubilia curae mauris viverra","donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum"
"posuere metus vitae ipsum","posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non"
"posuere nonummy integer non velit donec diam neque vestibulum","sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo"
"potenti in eleifend","tortor risus dapibus augue vel accumsan tellus nisi eu orci"
"potenti nullam","suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem"
"praesent blandit lacinia erat vestibulum sed magna","viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat"
"praesent id massa id nisl venenatis","condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra"
"praesent id massa id nisl venenatis lacinia aenean sit amet","rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean"
"pretium iaculis diam erat fermentum","odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero"
"pretium iaculis justo in hac habitasse","in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea"
"primis in faucibus","suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at"
"primis in faucibus orci","quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec"
"primis in faucibus orci luctus et ultrices posuere cubilia","ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean"
"proin at turpis a pede posuere nonummy integer","adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero"
"proin eu mi nulla ac enim in tempor","id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi"
"proin risus praesent lectus vestibulum","semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in"
"pulvinar lobortis est phasellus sit amet erat","etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus"
"pulvinar nulla pede ullamcorper augue a suscipit nulla","neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce"
"pulvinar sed nisl nunc rhoncus","et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa"
"pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis","curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in"
"purus aliquet at feugiat non pretium quis lectus suspendisse potenti","vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna"
"purus eu magna","diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor"
"quam a odio in hac habitasse platea","placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel"
"quam fringilla rhoncus mauris enim leo rhoncus sed","convallis nunc proin at turpis a pede posuere nonummy integer"
"quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit","nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere"
"quam nec","elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris"
"quam pede lobortis ligula sit","volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio"
"quam pharetra magna ac consequat metus sapien ut nunc","sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel"
"quam sollicitudin vitae","vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc"
"quam suspendisse potenti nullam porttitor lacus at","turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas"
"quam suspendisse potenti nullam porttitor lacus at turpis donec posuere","aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis"
"quis justo maecenas","volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla"
"quis lectus suspendisse potenti in eleifend","id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin"
"quis lectus suspendisse potenti in eleifend quam a","elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit"
"quis libero nullam sit","faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat"
"quis libero nullam sit amet turpis elementum","pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis"
"quis orci eget orci vehicula","nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit"
"quis orci eget orci vehicula condimentum","lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque"
"quis turpis eget elit sodales","mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi"
"quis turpis eget elit sodales scelerisque mauris","lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum"
"quis turpis eget elit sodales scelerisque mauris sit","eros vestibulum ac est lacinia nisi venenatis tristique fusce congue"
"quisque erat eros","nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis"
"Rett-like syndrome","Rett syndrome is characterized by seizures, motor abnormalities, abnormal hand movements, problems with language, features of autism and the tendency to lose skills throughout adulthood. The symptoms begin between 6 and 18 months of age."
"rhoncus aliquam lacus morbi quis","ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices"
"rhoncus aliquet pulvinar","nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea"
"rhoncus aliquet pulvinar sed","felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar"
"rhoncus dui vel sem sed sagittis nam","lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in"
"rhoncus sed vestibulum sit amet cursus id turpis integer","tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies"
"ridiculus mus","dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus"
"ridiculus mus etiam vel","nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id"
"risus auctor","sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum"
"risus auctor sed","in imperdiet et commodo vulputate justo in blandit ultrices enim lorem"
"risus auctor sed tristique","iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec"
"risus auctor sed tristique in tempus sit","eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien"
"risus dapibus","hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras"
"risus dapibus augue vel accumsan tellus","dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce"
"risus semper porta volutpat quam pede lobortis ligula","elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula"
"rutrum ac lobortis","lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id"
"rutrum ac lobortis vel","aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus"
"rutrum ac lobortis vel dapibus","egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id"
"rutrum at lorem integer tincidunt ante vel ipsum praesent","dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis"
"rutrum neque aenean","bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt"
"rutrum nulla tellus","rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem"
"rutrum rutrum neque","eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id"
"sagittis dui vel nisl duis ac","donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius"
"sagittis sapien cum sociis","odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede"
"sagittis sapien cum sociis natoque","curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est"
"sapien a libero nam dui proin leo odio porttitor","in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in"
"sapien cum sociis","nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula"
"sapien cum sociis natoque","phasellus in felis donec semper sapien a libero nam dui"
"sapien cursus vestibulum proin eu","eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis"
"sapien cursus vestibulum proin eu mi nulla ac","suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla"
"sapien dignissim vestibulum vestibulum","in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec"
"sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit","elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus"
"sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at","hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi"
